itemname,tablename,action,condition,status,description,tags,notes,RunTime
Monthly Adj_Kykenkee MFG,ProductionConstraints,"ConstraintType='Min'","(FacilityName LIKE 'D_USA35490_54027*')",,,,,2023-04-14 13:17:22
Single Source Distributor (Return) - Horizon,FlowCountConstraints,"Status='Include'","Notes = 'SingleSourceReturns'",,,,,2023-04-14 13:17:22
Metro Renter/Distributor Sorts - To All,ReplenishmentPolicies,"Status='Include'","(FacilityName LIKE 'D_CANH8T3E6_63111*') AND (SourceName LIKE 'D_CANC0B1A0_59139*' OR SourceName LIKE 'D_CANE4M2G1_62101*' OR SourceName LIKE 'D_CANE7H2J2_60575*' OR SourceName LIKE 'D_CANC0B1A0_59139*' OR SourceName LIKE 'D_CANE4M2G1_62101*' OR SourceName LIKE 'D_CANE7H2J2_60575*')",,,,,2023-04-14 13:17:22
SOIP Run - Include Plan Returns,ReplenishmentPolicies,"Status='Include'","(SourceName LIKE 'R*') AND (SOIPPlan LIKE 'Y*')",,,,,2023-04-14 13:17:22
SOIP Run - Exclude All Return Lanes,ReplenishmentPolicies,"Status='Exclude'","SourceName LIKE 'R_*'",,,,,2023-04-14 13:17:22
Coon Rapids Storage - Services Hugo Only SS,ReplenishmentPolicies,"Status='Exclude'","(FacilityName != 'D_USA55038_46360') AND (SourceName LIKE 'D_USA55433_68886*') AND (Notes LIKE 'Baseline_Transfers*')",,,,,2023-04-14 13:17:22
Metro Renter/Distributor Sorts - From All,ReplenishmentPolicies,"Status='Include'","(FacilityName LIKE 'D_CANC0B1A0_59139*' OR FacilityName LIKE 'D_CANE4M2G1_62101*' OR FacilityName LIKE 'D_CANE7H2J2_60575*' OR FacilityName LIKE 'D_CANC0B1A0_59139*' OR FacilityName LIKE 'D_CANE4M2G1_62101*' OR FacilityName LIKE 'D_CANE7H2J2_60575*') AND (SourceName LIKE 'D_CANH8T3E6_63111*')",,,,,2023-04-14 13:17:22
Max WIP Inventory - Inventory Constraints,InventoryConstraints,"Status='Include'","Notes = 'MaxWIPInventory'",,,,,2023-04-14 13:17:22
Sorts Matrix - Include Preferred Assignment,ReplenishmentPolicies,"Status='Include'","RentDistSortPrefAssig LIKE 'Y*'",,,,,2023-04-14 13:17:22
Sorts Matrix - From All - Exclude,ReplenishmentPolicies,"Status='Exclude'","(Notes = 'Baseline_Transfers') AND ((ODepotType != 'BLANK' AND ODepotType != '')) AND (DDepotType LIKE 'Distributor Sort*' OR DDepotType LIKE 'Renter Sort*')",,,,,2023-04-14 13:17:22
Transfers Sort Only,ReplenishmentPolicies,"Status='Exclude'","(Notes = 'Baseline_Transfers') AND (ODepotType LIKE 'Sort Only*') AND (DDepotType LIKE 'DO NOT USE*' OR DDepotType LIKE 'Manufacturing*')",,,,,2023-04-14 13:17:22
